name,address,city,state,country,phone,website,domain,email,category,categories,rating,reviews_count,source,source_url,search_term,created_at,b2b_score,review_status,qualification_reason
JC Decor,"Av. Dom Pedro II, 1479",Belo Horizonte,Minas Gerais,Brazil,+55 31 3201-3187,https://www.jcdecor.com.br/,jcdecor.com.br,,Loja de tecidos,Loja de tecidos | Atacadista de tecidos | Loja de pisos | Fornecedor de produtos de espuma e borracha | Loja de artigos de couro | Loja de tapetes | Loja de tatames | Fornecedor de grama,4.8,3599.0,apify_google_maps,https://www.google.com/maps/search/?api=1&query=JC%20Decor&query_place_id=ChIJz6ufsuKZpgARpW6R-hs-Aa4,,2026-06-01T09:36:46,14,strong_b2b,flooring/revestimentos signal; B2B/distributor/wholesale signal; website available; phone available; strong rating; many reviews
Atacadão dos Pisos,"Av. Presidente Lincoln, 410",São João de Meriti,Rio de Janeiro,Brazil,+55 21 2751-2063,https://atacadaodospisosrj.com.br/,atacadaodospisosrj.com.br,,Loja de pisos,Loja de pisos | Loja de materiais de construção | Loja de artigos em cerâmica | Fornecedor de revestimento,4.5,1086.0,apify_google_maps,https://www.google.com/maps/search/?api=1&query=Atacad%C3%A3o%20dos%20Pisos&query_place_id=ChIJAaKI6qtlmQAR_IwubRpvn6k,,2026-06-01T09:36:46,14,strong_b2b,flooring/revestimentos signal; B2B/distributor/wholesale signal; website available; phone available; strong rating; many reviews
RC Distribuidora de Piso e Revestimento,"Avenida Professora Minervina Candida Oliveira, 135, Rua João Thomaz de Rezende, 560",Uberlândia,MG,Brazil,+55 34 99887-1579,https://www.rcdistribuidoradepisos.com.br/,rcdistribuidoradepisos.com.br,,Loja de pisos,Loja de pisos,4.4,990.0,apify_google_maps,https://www.google.com/maps/search/?api=1&query=RC%20Distribuidora%20de%20Piso%20e%20Revestimento&query_place_id=ChIJNbR8J2tEpJQRLmYKXoQWOSk,,2026-06-01T09:36:46,14,strong_b2b,flooring/revestimentos signal; B2B/distributor/wholesale signal; website available; phone available; strong rating; many reviews
Atacadão da Suburbana Materiais de Acabamentos,"Av. Dom Hélder Câmara, 4380 - loja A",Rio de Janeiro,Rio de Janeiro,Brazil,+55 21 97736-4789,https://bento.me/atacadaosuburbana,bento.me,,Loja de pisos,Loja de pisos | Loja de materiais de construção | Fornecedor de materiais de construção | Atacadista de materiais de construção | Marmoraria | Fornecedor de revestimento,5.0,913.0,apify_google_maps,https://www.google.com/maps/search/?api=1&query=Atacad%C3%A3o%20da%20Suburbana%20Materiais%20de%20Acabamentos&query_place_id=ChIJI2Gd9ql9mQARnOp8jw_nSnk,,2026-06-01T09:36:46,14,strong_b2b,flooring/revestimentos signal; B2B/distributor/wholesale signal; website available; phone available; strong rating; many reviews
"Perin Casa & Construção: Tintas, Porcelanato, Material de Construção, Boa Vista RR",Av. Cap. Júlio Bezerra,Boa Vista,Roraima,Brazil,+55 95 3198-3300,https://www.instagram.com/perincasaconstrucao/,instagram.com,,Fornecedor de materiais de construção,Fornecedor de materiais de construção,4.4,907.0,apify_google_maps,https://www.google.com/maps/search/?api=1&query=Perin%20Casa%20%26%20Constru%C3%A7%C3%A3o%3A%20Tintas%2C%20Porcelanato%2C%20Material%20de%20Constru%C3%A7%C3%A3o%2C%20Boa%20Vista%20RR&query_place_id=ChIJ30Z8Gv8Hk40RnwLUfW_hf-I,,2026-06-01T09:36:46,14,strong_b2b,flooring/revestimentos signal; B2B/distributor/wholesale signal; website available; phone available; strong rating; many reviews
Cristal Pisos Distribuidora,"Rua C, 02 - Qd 02, Lt 03",Aparecida de Goiânia,Goiás,Brazil,+55 62 3282-0661,https://www.cristalpisos.com.br/,cristalpisos.com.br,,Loja de pisos,Loja de pisos | Loja de materiais de construção,4.4,865.0,apify_google_maps,https://www.google.com/maps/search/?api=1&query=Cristal%20Pisos%20Distribuidora&query_place_id=ChIJnaoDjvP6XpMRMyxbe0QOpYk,,2026-06-01T09:36:46,14,strong_b2b,flooring/revestimentos signal; B2B/distributor/wholesale signal; website available; phone available; strong rating; many reviews
Atacadão dos Pisos - Vitória da Conquista,"Av. Bartolomeu de Gusmão, 251",Vitória da Conquista,Bahia,Brazil,+55 77 98104-0132,https://atacadaodospisos.com/,atacadaodospisos.com,,Loja de materiais de construção,Loja de materiais de construção | Loja de pisos,4.0,738.0,apify_google_maps,https://www.google.com/maps/search/?api=1&query=Atacad%C3%A3o%20dos%20Pisos%20-%20Vit%C3%B3ria%20da%20Conquista&query_place_id=ChIJof5y1qs7RgcR-LhDd8GsXm8,,2026-06-01T09:36:46,14,strong_b2b,flooring/revestimentos signal; B2B/distributor/wholesale signal; website available; phone available; strong rating; many reviews
Constrel Materiais de Construção,"R. Zap, 93 - 93300.4805 - 1726,1823",Manaus,Amazonas,Brazil,+55 92 3234-8337,https://pt-br.facebook.com/Constrel-materiais-de-constru%C3%A7%C3%A3o-253561754784419/,pt-br.facebook.com,,Loja de materiais de construção,Loja de materiais de construção | Fornecedor de abrasivos | Fornecedor de compressores de ar | Loja de eletrodomésticos | Loja de produtos de cuidado automotivo | Loja de pisos | Loja de tintas | Fornecedor de forros de plástico e polietileno | Loja de aspiradores de pó | Loja de equipamentos para soldagem,4.4,560.0,apify_google_maps,https://www.google.com/maps/search/?api=1&query=Constrel%20Materiais%20de%20Constru%C3%A7%C3%A3o&query_place_id=ChIJaR0uyWEFbJIRhjJ4DPgy600,,2026-06-01T09:36:46,14,strong_b2b,flooring/revestimentos signal; B2B/distributor/wholesale signal; website available; phone available; strong rating; many reviews
Importadora Luanjo,"Av. Leopoldo Peres, 305",Manaus,Amazonas,Brazil,+55 92 98122-0162,https://www.importadoraluanjo.com.br/,importadoraluanjo.com.br,,Loja de materiais de construção,Loja de materiais de construção | Eletricista | Loja de pisos | Importadora | Loja de Iluminação | Loja de tintas,4.4,429.0,apify_google_maps,https://www.google.com/maps/search/?api=1&query=Importadora%20Luanjo&query_place_id=ChIJXR44c54FbJIRiARSlCEfbK4,,2026-06-01T09:36:46,14,strong_b2b,flooring/revestimentos signal; B2B/distributor/wholesale signal; website available; phone available; strong rating; many reviews
"Plack Sistemas Construtivos – Drywall, Steel Frame e Pisos Vinílicos em Goiânia","Av. Marialva, 110",Goiânia,Goiás,Brazil,+55 62 3094-1800,https://www.plack.com.br/,plack.com.br,,Loja de materiais de construção,Loja de materiais de construção | Loja de pisos | Serviço de entrega,4.8,424.0,apify_google_maps,https://www.google.com/maps/search/?api=1&query=Plack%20Sistemas%20Construtivos%20%E2%80%93%20Drywall%2C%20Steel%20Frame%20e%20Pisos%20Vin%C3%ADlicos%20em%20Goi%C3%A2nia&query_place_id=ChIJz-G-Ik73XpMRPVJTBWjL1Og,,2026-06-01T09:36:46,14,strong_b2b,flooring/revestimentos signal; B2B/distributor/wholesale signal; website available; phone available; strong rating; many reviews
